video_path,category,label,frames_sampled,faces_detected,detection_rate,avg_face_area_ratio,backend,readable
Dataset\Video\Face2Face\906_847.mp4,Face2Face,FAKE,10,10,1.0,0.0455,mediapipe,True
Dataset\Video\Face2Face\828_830.mp4,Face2Face,FAKE,10,10,1.0,0.0445,mediapipe,True
Dataset\Video\Face2Face\887_275.mp4,Face2Face,FAKE,10,10,1.0,0.2035,mediapipe,True
Dataset\Video\Face2Face\692_610.mp4,Face2Face,FAKE,10,10,1.0,0.1046,mediapipe,True
Dataset\Video\Face2Face\549_531.mp4,Face2Face,FAKE,10,10,1.0,0.032,mediapipe,True
Dataset\Video\Face2Face\228_289.mp4,Face2Face,FAKE,10,10,1.0,0.0387,mediapipe,True
Dataset\Video\FaceShifter\591_605.mp4,FaceShifter,FAKE,10,10,1.0,0.0367,mediapipe,True
Dataset\Video\FaceShifter\754_758.mp4,FaceShifter,FAKE,10,10,1.0,0.0441,mediapipe,True
Dataset\Video\FaceShifter\296_293.mp4,FaceShifter,FAKE,10,10,1.0,0.0494,mediapipe,True
Dataset\Video\FaceShifter\006_002.mp4,FaceShifter,FAKE,10,10,1.0,0.0499,mediapipe,True
Dataset\Video\FaceShifter\983_113.mp4,FaceShifter,FAKE,10,10,1.0,0.0511,mediapipe,True
Dataset\Video\FaceShifter\163_031.mp4,FaceShifter,FAKE,10,10,1.0,0.0528,mediapipe,True
Dataset\Video\FaceShifter\887_275.mp4,FaceShifter,FAKE,10,10,1.0,0.1986,mediapipe,True
Dataset\Video\FaceShifter\558_583.mp4,FaceShifter,FAKE,10,10,1.0,0.0537,mediapipe,True
Dataset\Video\FaceShifter\373_394.mp4,FaceShifter,FAKE,10,10,1.0,0.1678,mediapipe,True
Dataset\Video\FaceShifter\159_175.mp4,FaceShifter,FAKE,10,10,1.0,0.0386,mediapipe,True
Dataset\Video\FaceSwap\225_151.mp4,FaceSwap,FAKE,10,10,1.0,0.0388,mediapipe,True
Dataset\Video\FaceSwap\983_113.mp4,FaceSwap,FAKE,10,10,1.0,0.0532,mediapipe,True
Dataset\Video\FaceSwap\373_394.mp4,FaceSwap,FAKE,10,10,1.0,0.1673,mediapipe,True
Dataset\Video\FaceSwap\099_295.mp4,FaceSwap,FAKE,10,10,1.0,0.1088,mediapipe,True
Dataset\Video\FaceSwap\094_111.mp4,FaceSwap,FAKE,10,10,1.0,0.043,mediapipe,True
Dataset\Video\FaceSwap\432_357.mp4,FaceSwap,FAKE,10,10,1.0,0.0777,mediapipe,True
Dataset\Video\FaceSwap\095_053.mp4,FaceSwap,FAKE,10,10,1.0,0.0312,mediapipe,True
Dataset\Video\FaceSwap\387_311.mp4,FaceSwap,FAKE,10,10,1.0,0.0422,mediapipe,True
Dataset\Video\FaceSwap\379_158.mp4,FaceSwap,FAKE,10,10,1.0,0.0248,mediapipe,True
Dataset\Video\FaceSwap\759_755.mp4,FaceSwap,FAKE,10,10,1.0,0.0507,haar,True
Dataset\Video\NeuralTextures\281_474.mp4,NeuralTextures,FAKE,10,10,1.0,0.0101,haar,True
Dataset\Video\NeuralTextures\044_945.mp4,NeuralTextures,FAKE,10,10,1.0,0.069,mediapipe,True
Dataset\Video\NeuralTextures\947_951.mp4,NeuralTextures,FAKE,10,10,1.0,0.0378,mediapipe,True
Dataset\Video\NeuralTextures\603_575.mp4,NeuralTextures,FAKE,10,10,1.0,0.1509,mediapipe,True
Dataset\Video\NeuralTextures\686_696.mp4,NeuralTextures,FAKE,10,10,1.0,0.0307,mediapipe,True
Dataset\Video\NeuralTextures\104_126.mp4,NeuralTextures,FAKE,10,10,1.0,0.1255,mediapipe,True
Dataset\Video\NeuralTextures\432_357.mp4,NeuralTextures,FAKE,10,10,1.0,0.0808,mediapipe,True
Dataset\Video\NeuralTextures\089_065.mp4,NeuralTextures,FAKE,10,10,1.0,0.0502,mediapipe,True
Dataset\Video\NeuralTextures\714_842.mp4,NeuralTextures,FAKE,10,10,1.0,0.0463,mediapipe,True
Dataset\Video\NeuralTextures\344_020.mp4,NeuralTextures,FAKE,10,10,1.0,0.0953,mediapipe,True
Dataset\Video\original\791.mp4,original,REAL,10,10,1.0,0.0885,mediapipe,True
Dataset\Video\original\781.mp4,original,REAL,10,10,1.0,0.0545,mediapipe,True
Dataset\Video\original\389.mp4,original,REAL,10,10,1.0,0.0306,mediapipe,True
Dataset\Video\original\733.mp4,original,REAL,10,10,1.0,0.2455,mediapipe,True
Dataset\Video\original\214.mp4,original,REAL,10,10,1.0,0.0986,mediapipe,True
Dataset\Video\original\890.mp4,original,REAL,10,10,1.0,0.1428,mediapipe,True
Dataset\Video\original\080.mp4,original,REAL,10,10,1.0,0.0249,mediapipe,True
Dataset\Video\original\044.mp4,original,REAL,10,10,1.0,0.0743,mediapipe,True
Dataset\Video\original\849.mp4,original,REAL,10,10,1.0,0.0298,mediapipe,True
Dataset\Video\original\233.mp4,original,REAL,10,10,1.0,0.0225,haar,True
