video_path,category,actual_label,predicted_label,prediction_probability,evidence_type,feature,feature_family,feature_value,shap_value,direction
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,glcm_correlation_max,Texture (GLCM),0.980651,-0.488398,Pushes REAL
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,s_hist_5_max,Color (HSV),0.2957,-0.462692,Pushes REAL
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,h_mean_min,Color (HSV),45.829147,-0.460279,Pushes REAL
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,glcm_energy_max,Texture (GLCM),0.225526,-0.4532,Pushes REAL
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,lbp_hist_9_min,Texture (LBP & Gray),0.044739,-0.451845,Pushes REAL
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,glcm_dissimilarity_std,Texture (GLCM),0.045412,-0.428648,Pushes REAL
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,lbp_hist_9_mean,Texture (LBP & Gray),0.048161,-0.42828,Pushes REAL
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,s_hist_4_std,Color (HSV),0.013591,-0.418282,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,lbp_hist_5_min,Texture (LBP & Gray),0.250137,0.855992,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,v_hist_5_mean,Color (HSV),0.38835,0.639383,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,h_hist_7_std,Color (HSV),0.024002,0.625785,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,edge_std_mean,Edge (Canny),56.851679,0.605218,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,v_hist_5_max,Color (HSV),0.396286,0.509747,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,gray_mean_min,Texture (LBP & Gray),145.379944,0.494223,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,s_hist_3_mean,Color (HSV),0.022131,0.483463,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,h_std_max,Color (HSV),73.22404,0.464809,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,v_mean_min,Color (HSV),157.387207,0.421281,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top FAKE Evidence,s_hist_6_min,Color (HSV),0.0,0.420662,Pushes FAKE
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,h_std_mean,Color (HSV),72.389003,-1.049047,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,h_hist_7_min,Color (HSV),0.288788,-0.825576,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,s_std_mean,Color (HSV),23.869918,-0.812751,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,lbp_hist_9_min,Texture (LBP & Gray),0.035965,-0.709565,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,s_std_max,Color (HSV),26.069559,-0.694338,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,lbp_hist_5_mean,Texture (LBP & Gray),0.25995,-0.681869,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,lbp_hist_7_std,Texture (LBP & Gray),0.003795,-0.649174,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,v_hist_6_min,Color (HSV),0.235703,-0.62673,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,lbp_hist_2_max,Texture (LBP & Gray),0.014053,-0.621193,Pushes REAL
Dataset\Video\original\046.mp4,original,REAL,FAKE,0.6483,Top REAL Evidence,glcm_dissimilarity_std,Texture (GLCM),0.026321,-0.575104,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,lbp_hist_5_min,Texture (LBP & Gray),0.25914,1.031922,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,v_hist_2_min,Color (HSV),0.208832,0.625806,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,h_mean_min,Color (HSV),100.649841,0.511105,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,v_hist_1_min,Color (HSV),0.243774,0.488976,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,lbp_hist_1_max,Texture (LBP & Gray),0.036514,0.461823,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,lbp_hist_0_std,Texture (LBP & Gray),0.00061,0.391462,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,glcm_energy_max,Texture (GLCM),0.113854,0.353129,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,s_hist_3_min,Color (HSV),0.202225,0.352599,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,v_hist_4_mean,Color (HSV),0.050862,0.335803,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top FAKE Evidence,v_hist_2_max,Color (HSV),0.217941,0.308966,Pushes FAKE
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,lbp_hist_5_mean,Texture (LBP & Gray),0.26572,-0.774768,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,dct_high_energy_std,Frequency (DCT),40.482345,-0.676396,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,lbp_hist_9_min,Texture (LBP & Gray),0.042511,-0.517283,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,lbp_hist_7_mean,Texture (LBP & Gray),0.049803,-0.481635,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,glcm_correlation_std,Texture (GLCM),0.0094,-0.476335,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,lbp_hist_9_mean,Texture (LBP & Gray),0.04729,-0.4486,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,v_hist_2_mean,Color (HSV),0.212898,-0.439635,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,lbp_hist_2_max,Texture (LBP & Gray),0.0168,-0.438671,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,s_hist_3_mean,Color (HSV),0.207799,-0.426866,Pushes REAL
Dataset\Video\original\163.mp4,original,REAL,REAL,0.8194,Top REAL Evidence,dct_high_low_ratio_std,Frequency (DCT),4.2e-05,-0.415026,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,lbp_hist_5_min,Texture (LBP & Gray),0.287857,1.593109,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,h_std_mean,Color (HSV),21.338698,1.146517,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,v_hist_2_min,Color (HSV),0.259232,0.925748,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,s_hist_3_min,Color (HSV),0.287857,0.678173,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,h_hist_0_min,Color (HSV),0.900238,0.648095,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,edge_std_mean,Edge (Canny),56.973029,0.600601,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,v_hist_2_max,Color (HSV),0.293884,0.591934,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,lbp_hist_1_max,Texture (LBP & Gray),0.033859,0.548448,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,lbp_hist_4_max,Texture (LBP & Gray),0.328384,0.518806,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top FAKE Evidence,s_hist_3_max,Color (HSV),0.334839,0.493948,Pushes FAKE
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,lbp_hist_5_mean,Texture (LBP & Gray),0.29565,-1.256706,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,h_mean_min,Color (HSV),16.639999,-0.97749,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,s_hist_3_mean,Color (HSV),0.308873,-0.922434,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,s_hist_2_mean,Color (HSV),0.285701,-0.862785,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,lbp_hist_9_min,Texture (LBP & Gray),0.033798,-0.773211,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,v_hist_2_mean,Color (HSV),0.276367,-0.735535,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,lbp_hist_9_mean,Texture (LBP & Gray),0.035985,-0.712272,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,lbp_hist_5_max,Texture (LBP & Gray),0.30275,-0.496855,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,h_mean_max,Color (HSV),19.87915,-0.475735,Pushes REAL
Dataset\Video\original\284.mp4,original,REAL,FAKE,0.7954,Top REAL Evidence,lbp_hist_9_max,Texture (LBP & Gray),0.03833,-0.471824,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,lbp_hist_3_max,Texture (LBP & Gray),0.127472,0.834871,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,lbp_hist_3_mean,Texture (LBP & Gray),0.124304,0.758199,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,h_hist_7_std,Color (HSV),0.02456,0.649268,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,glcm_energy_max,Texture (GLCM),0.080039,0.597291,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,v_hist_6_std,Color (HSV),0.017775,0.550587,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,lbp_hist_8_min,Texture (LBP & Gray),0.080734,0.520968,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,s_std_std,Color (HSV),4.140807,0.422314,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,v_hist_1_std,Color (HSV),0.039761,0.419254,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,lbp_hist_2_max,Texture (LBP & Gray),0.029373,0.396874,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top FAKE Evidence,lbp_hist_4_max,Texture (LBP & Gray),0.299072,0.386504,Pushes FAKE
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,lbp_hist_6_min,Texture (LBP & Gray),0.063934,-0.94603,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,h_mean_std,Color (HSV),6.837938,-0.858245,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,lbp_hist_6_max,Texture (LBP & Gray),0.068268,-0.641523,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,h_hist_2_std,Color (HSV),0.018794,-0.498577,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,glcm_energy_mean,Texture (GLCM),0.076256,-0.412364,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,v_hist_0_min,Color (HSV),0.03952,-0.403129,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,v_hist_2_mean,Color (HSV),0.181903,-0.295132,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,h_std_mean,Color (HSV),54.220092,-0.267641,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,s_hist_2_mean,Color (HSV),0.178444,-0.255662,Pushes REAL
Dataset\Video\original\352.mp4,original,REAL,FAKE,0.8499,Top REAL Evidence,h_mean_min,Color (HSV),57.727753,-0.249444,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,lbp_hist_5_min,Texture (LBP & Gray),0.253326,0.918313,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,lbp_hist_7_std,Texture (LBP & Gray),0.000925,0.509476,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,h_hist_4_max,Color (HSV),0.023529,0.464176,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,glcm_energy_max,Texture (GLCM),0.10156,0.441902,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,h_hist_0_min,Color (HSV),0.663177,0.397538,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,v_mean_min,Color (HSV),152.558182,0.372853,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,s_mean_mean,Color (HSV),149.73755,0.352804,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,v_hist_5_mean,Color (HSV),0.266347,0.334612,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,lbp_hist_8_min,Texture (LBP & Gray),0.126663,0.321352,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top FAKE Evidence,s_hist_7_mean,Color (HSV),0.231883,0.286734,Pushes FAKE
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,lbp_hist_5_mean,Texture (LBP & Gray),0.266232,-0.783024,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,glcm_dissimilarity_std,Texture (GLCM),0.016744,-0.648574,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,s_hist_5_min,Color (HSV),0.182175,-0.588446,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,s_hist_5_mean,Color (HSV),0.189584,-0.530355,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,v_hist_0_min,Color (HSV),0.02182,-0.478089,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,h_mean_min,Color (HSV),45.849899,-0.459911,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,lbp_hist_6_min,Texture (LBP & Gray),0.055038,-0.395485,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,h_std_mean,Color (HSV),56.721813,-0.375235,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,s_hist_0_std,Color (HSV),0.001413,-0.364022,Pushes REAL
Dataset\Video\original\367.mp4,original,REAL,REAL,0.7801,Top REAL Evidence,v_hist_1_min,Color (HSV),0.026276,-0.342141,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,lbp_hist_5_min,Texture (LBP & Gray),0.28952,1.625612,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,lbp_hist_5_std,Texture (LBP & Gray),0.014897,0.714791,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,edge_std_mean,Edge (Canny),54.439643,0.696983,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,lbp_hist_3_std,Texture (LBP & Gray),0.005208,0.641728,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,lbp_hist_4_std,Texture (LBP & Gray),0.015949,0.590269,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,lbp_hist_6_std,Texture (LBP & Gray),0.002967,0.525585,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,s_hist_5_std,Color (HSV),0.021815,0.52423,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,lbp_hist_1_max,Texture (LBP & Gray),0.035614,0.491196,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,v_hist_3_min,Color (HSV),0.456039,0.480383,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top FAKE Evidence,s_hist_2_mean,Color (HSV),0.062947,0.398101,Pushes FAKE
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,lbp_hist_5_mean,Texture (LBP & Gray),0.31024,-1.491643,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,s_hist_5_min,Color (HSV),0.38237,-1.480235,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,s_hist_5_mean,Color (HSV),0.423154,-1.466724,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,lbp_hist_5_max,Texture (LBP & Gray),0.344849,-0.796489,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,s_hist_5_max,Color (HSV),0.447952,-0.768326,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,s_hist_6_min,Color (HSV),0.107864,-0.760149,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,h_hist_4_max,Color (HSV),0.611938,-0.593004,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,glcm_dissimilarity_std,Texture (GLCM),0.025856,-0.578672,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,v_hist_0_min,Color (HSV),0.014206,-0.510334,Pushes REAL
Dataset\Video\original\618.mp4,original,REAL,REAL,0.9928,Top REAL Evidence,lbp_hist_2_max,Texture (LBP & Gray),0.016068,-0.487344,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,s_std_std,Color (HSV),7.158481,0.999355,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,v_hist_1_min,Color (HSV),0.371933,0.978701,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,glcm_dissimilarity_std,Texture (GLCM),0.220339,0.913286,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,h_hist_7_std,Color (HSV),0.027534,0.774436,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,lbp_hist_6_std,Texture (LBP & Gray),0.003387,0.707653,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,h_mean_min,Color (HSV),108.488647,0.650003,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,edge_std_mean,Edge (Canny),55.676833,0.649914,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,lbp_hist_5_min,Texture (LBP & Gray),0.233429,0.529478,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,s_hist_3_min,Color (HSV),0.244583,0.513646,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top FAKE Evidence,v_hist_5_std,Color (HSV),0.026546,0.428904,Pushes FAKE
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,s_hist_2_mean,Color (HSV),0.334892,-1.14123,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,glcm_correlation_std,Texture (GLCM),0.016051,-1.058597,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,dct_mid_energy_std,Frequency (DCT),829.003151,-0.763488,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,s_hist_3_mean,Color (HSV),0.269496,-0.729369,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,s_hist_7_std,Color (HSV),0.031538,-0.719113,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,dct_high_low_ratio_std,Frequency (DCT),6.3e-05,-0.701297,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,dct_high_energy_std,Frequency (DCT),40.648663,-0.680356,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,lbp_hist_6_max,Texture (LBP & Gray),0.066849,-0.574836,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,h_std_mean,Color (HSV),61.361871,-0.574793,Pushes REAL
Dataset\Video\original\643.mp4,original,REAL,FAKE,0.7654,Top REAL Evidence,h_hist_7_min,Color (HSV),0.215225,-0.554925,Pushes REAL
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,h_hist_7_std,Color (HSV),0.034625,1.072877,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,v_hist_6_std,Color (HSV),0.021135,0.717699,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,v_hist_5_mean,Color (HSV),0.392444,0.64961,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,v_hist_5_max,Color (HSV),0.419098,0.556255,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,h_hist_0_min,Color (HSV),0.813095,0.55599,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,edge_std_mean,Edge (Canny),58.638435,0.537241,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,lbp_hist_4_max,Texture (LBP & Gray),0.327881,0.516533,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,h_hist_4_max,Color (HSV),0.002975,0.501105,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,lbp_hist_3_max,Texture (LBP & Gray),0.115433,0.497007,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top FAKE Evidence,lbp_hist_8_min,Texture (LBP & Gray),0.086578,0.495568,Pushes FAKE
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top REAL Evidence,h_mean_min,Color (HSV),20.679962,-0.905905,Pushes REAL
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top REAL Evidence,v_hist_4_mean,Color (HSV),0.310251,-0.681902,Pushes REAL
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top REAL Evidence,s_std_mean,Color (HSV),31.908638,-0.647407,Pushes REAL
Dataset\Video\original\718.mp4,original,REAL,FAKE,0.9395,Top REAL Evidence,h_mean_std,Color (HSV),5.237557,-0.571695,Pushes REAL
